City,Month,Year,SO2,NH3,NOX,PM10,PM2.5,AQIIndex
Warangal,January,2019,10.1,64,51.2,88,,88
Warangal,January,2019,10.3,68,54.5,91,,91
Karimnagar,January,2019,11.1,66,55.5,124,,104
Karimnagar,January,2019,10.7,62,54.4,107,,104
Khammam,January,2019,10.6,62,55.1,95,,94
Nizamabad,January,2019,5.5,BDL,24.3,64,,64
Adilabad,January,2019,5.9,BDL,24.8,74,45,76
Nizamabad,January,2020,5.5,10,27.3,60,37,64
Adilabad,January,2020,5.8,10,27.6,78,,78
Warangal,January,2020,6.1,63,48.3,92,,92
Warangal,January,2020,6,64,49.2,89,,89
Karimnagar,January,2020,5.9,72,54.3,113,,111
Karimnagar,January,2020,6.1,67,52.5,116,,111
Khammam,January,2020,6,66,49.1,88,,88
Nizamabad,January,2021,5.8,15,24.7,68,35,69
Warangal,January,2021,6.7,68,45,78,,78
Warangal,January,2021,6.4,71,42.2,81,,81
Karimnagar,January,2021,7.4,69,57.4,116,,110
Karimnagar,January,2021,7.1,72,56.6,114,,110
Khammam,January,2021,6.8,67,47,101,,100
Nizamabad,January,2022,6.9,14,25.5,56,,56
Warangal,January,2022,4.8,34,28.9,56,,58
Warangal,January,2022,7.1,36,31.8,73,39,73
Karimnagar,January,2022,8.1,38,42.5,95,,82
Karimnagar,January,2022,7.8,32,30.3,82,42,82
Khammam,January,2022,6.8,45,29.8,80,,80
Warangal,January,2019,10,63,56.9,90,,90
Warangal,February,2019,10.1,69,56,91,,91
Karimnagar,February,2019,10.6,69,58.5,113,,102
Karimnagar,February,2019,10.7,64,58.4,103,,102
Khammam,February,2019,9.2,65,57.8,90,,90
Nizamabad,February,2019,5.6,BDL,24.9,61,,61
Adilabad,February,2019,6,BDL,24.8,75,46,77
Nizamabad,February,2020,5.5,10,26.6,60,38,64
Adilabad,February,2020,5.6,10,26.6,82,,82
Warangal,February,2020,6.1,73,50.1,88,,88
Warangal,February,2020,6.2,70,51.1,88,,88
Karimnagar,February,2020,6.5,75,57.8,112,,114
Karimnagar,February,2020,6.4,75,56.3,121,,114
Khammam,February,2020,6.4,67,49,84,,84
Nizamabad,February,2021,5.1,20,23.4,67,34,68
Adilabad,February,2021,5.1,20,23,62,,62
Warangal,February,2021,6.8,71,46.4,85,,85
Warangal,February,2021,6.9,69,47.4,88,,88
Karimnagar,February,2021,7.4,72,48.3,120,,110
Karimnagar,February,2021,7.1,72,47,116,,110
Khammam,February,2021,6.8,68,38,84,,84
Nizamabad,February,2022,7.5,15,27.5,59,,59
Warangal,February,2022,6,39,27.2,63,,64
Warangal,February,2022,8.4,49,31,73,,73
Karimnagar,February,2022,8.4,41,46.4,116,42,90
Karimnagar,February,2022,6.4,22,27.9,92,47,90
Khammam,February,2022,7.6,48,30.7,78,,78
Warangal,March,2019,10.1,67,61.4,90,,90
Warangal,March,2019,10.2,68,54.6,92,34,92
Karimnagar,March,2019,10.7,74,58.2,107,,103
Karimnagar,March,2019,10.4,70,57.8,105,,103
Khammam,March,2019,10.2,67,54.6,91,,91
Nizamabad,March,2019,5.6,BDL,24.4,61,,61
Adilabad,March,2019,5.7,BDL,24.5,76,46,79
Nizamabad,March,2020,,,,,4,66
Adilabad,March,2020,4.7,10,22.2,71,,71
Warangal,March,2020,5.6,46,38.6,65,,65
Warangal,March,2020,5.9,54,38.1,74,,74
Karimnagar,March,2020,5.7,59,42.4,90,,110
Karimnagar,March,2020,6.5,65,49.3,115,,110
Khammam,March,2020,6.1,65,45,83,,83
Nizamabad,March,2021,5.7,20,24.8,66,3,66
Adilabad,March,2021,6.6,18,25.2,73,,73
Warangal,March,2021,7.7,41,37.2,47,,57
Warangal,March,2021,7.7,41,36.3,75,,75
Karimnagar,March,2021,8.2,48,43.1,102,,69
Karimnagar,March,2021,8.2,46,41.7,65,,69
Khammam,March,2021,7.7,43,36.2,65,,68
Nizamabad,March,2022,6.6,17,26.1,64,,64
Adilabad,March,2022,8.2,14,25.6,56,,56
Warangal,March,2022,5.7,39,26.4,49,,49
Warangal,March,2022,8,39,33.1,76,,76
Karimnagar,March,2022,7.6,40,41,89,44,96
Karimnagar,March,2022,6.8,23,26.7,99,44,96
Khammam,March,2022,7.8,65,51.5,76,,77
Warangal,April,2019,10.1,70,56.3,94,,94
Warangal,April,2019,10.1,70,54,89,,89
Karimnagar,April,2019,10.4,77,59.8,108,,109
Karimnagar,April,2019,10.4,75,61.2,113,,109
Khammam,April,2019,9.9,73,54.8,90,,90
Nizamabad,April,2019,5.6,BDL,23.4,62,,62
Adilabad,April,2019,5.7,BDL,24.3,77,44,78
Nizamabad,April,2020,0,0,0,0,23,38
Adilabad,April,2020,2,10,15.8,52,,52
Warangal,April,2020,6.8,10,30.1,16,,38
Warangal,April,2020,6,20,38,26,,41
Karimnagar,April,2020,7.2,10,42.7,74,,39
Karimnagar,April,2020,7,20,38,33,,39
Khammam,April,2020,6,20,20,80,,80
Nizamabad,April,2021,5.3,19,25.1,67,35,69
Adilabad,April,2021,6.1,19,25.4,74,,74
Warangal,April,2021,6.3,41,33.2,57,,58
Warangal,April,2021,8.9,49,34,71,,71
Karimnagar,April,2021,8.4,46,48.2,154,,73
Karimnagar,April,2021,8.2,45,40.7,72,,73
Khammam,April,2021,7.9,46,27.6,54,,54
Nizamabad,April,2022,7.8,16,24,58,,58
Adilabad,April,2022,9.5,18,28.2,65,,65
Warangal,April,2022,6,40,25.4,66,,66
Warangal,April,2022,7.6,40,34.2,60,,60
Karimnagar,April,2022,7.6,42,40.5,67,,70
Karimnagar,April,2022,8,24,28.4,70,33,70
Khammam,April,2022,7.3,65,44.6,78,,79
Warangal,May,2019,9.6,70,55.7,92,,92
Warangal,May,2019,9.5,70,55.2,93,,93
Karimnagar,May,2019,10.4,76,60.6,106,,103
Karimnagar,May,2019,10.2,71,58.9,105,,103
Khammam,May,2019,8.7,68,53.6,88,,88
