City,Region,Month,Year,Rainfall(mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph),Heat Index(max),Heat index(min),Heat index(mean),Heat  Wave
Nizamabad,Plain,January,2019,0.06695515342,15.04099135,30.41038552,35.25483871,89.70574351,0.0423288749,6.079779701,43.76613361,27.41460428,35.59036894,0
Nizamabad,Plain,February,2019,0.08475609756,18.43649826,33.7021777,31.71637631,83.02073171,0.02961672474,6.087020906,54.20008354,25.01751591,39.60879972,0
Nizamabad,Plain,March,2019,0.004405979544,21.7281668,37.11974823,25.58977183,71.53398899,0.06105428796,6.744610543,61.57339404,24.20727217,42.8903331,1
Khammam,Hilly,January,2019,1.086048387,17.49991935,31.44217742,47.64354839,95.75991935,0.01143099069,5.429127858,49.16094777,26.34094592,37.75094685,1
Khammam,Hilly,February,2019,0.004285714286,20.79848214,33.943125,45.07776786,94.86232143,0.03950504125,6.499541705,63.28045012,25.10227913,44.19136463,1
Khammam,Hilly,March,2019,0.2471774194,22.72758065,36.65669355,40.83290323,94.34048387,0.04549214227,7.176509512,78.69359758,24.99108646,51.84234202,1
Karimnagar,Plain,January,2019,1.465232975,15.55101553,29.96810036,40.65770609,93.86798088,0.0468339307,6.988291517,41.94444832,27.62817537,34.78631184,0
Karimnagar,Plain,February,2019,0.0928665786,19.32047556,33.0332893,41.38863937,90.1989432,0.06367239102,7.727212682,55.80216529,25.45137645,40.62677087,1
Karimnagar,Plain,March,2019,0.06866028708,21.93648325,36.10430622,34.10681818,82.19808612,0.1924641148,8.979066986,65.66824622,24.80634534,45.23729578,1
Nizamabad,Plain,April,2019,0.07772357724,25.62170732,40.76382114,19.82886179,60.02203252,0.0543902439,8.589756098,67.82897614,25.27616066,46.5525684,1
Nizamabad,Plain,May,2019,0.09402515723,28.54779874,42.86014151,14.19284591,42.27845912,0.09481132075,9.763443396,60.10940836,27.04084834,43.57512835,1
Nizamabad,Plain,June,2019,3.372497123,27.62197929,38.93291139,33.81979287,70.36271577,0.7735327963,10.90563867,65.73740844,26.31691366,46.02716105,1
Khammam,Hilly,April,2019,0.341,25.19083333,39.67575,30.9065,89.72175,0.08786324786,8.33,93.62853269,25.43987752,59.53420511,1
Khammam,Hilly,May,2019,1.072177419,28.24435484,41.98596774,30.80725806,84.8675,0.1793046358,9.425662252,102.1313604,27.10587309,64.61861674,1
Khammam,Hilly,June,2019,1.451746032,28.90333333,39.44333333,41.41301587,79.52428571,0.5392344498,12.99920255,80.04791526,28.23150551,54.13971039,1
Karimnagar,Plain,April,2019,0.3086419753,24.8662963,39.95901235,25.93691358,74.17506173,0.1395061728,10.26592593,78.18050038,25.13909427,51.65979733,1
Karimnagar,Plain,May,2019,0.2040621266,28.93333333,42.85686977,18.28876941,59.83679809,0.1406212664,11.12783751,77.41483495,27.37250665,52.3936708,1
Karimnagar,Plain,June,2019,2.859375,28.21020833,39.134375,36.19020833,73.88875,0.719375,16.08625,71.74114229,26.92832591,49.3347341,1
Nizamabad,Plain,July,2019,9.873859844,24.7134594,32.66607341,62.71468298,91.05695217,0.827919911,9.989321468,41.71042291,20.90498391,31.30770341,0
Nizamabad,Plain,August,2019,10.70500556,23.96885428,30.74249166,76.256396,96.13715239,0.6402669633,8.615239155,33.81777807,17.64407472,25.73092639,0
Nizamabad,Plain,September,2019,12.76004756,23.3569996,30.80935196,77.4842826,97.16635355,0.1929845422,6.510225922,30.81063241,15.49371552,23.15217396,0
Khammam,Hilly,July,2019,6.13625192,26.25837174,34.67772657,58.31167435,90.6187404,0.321812596,12.82396313,56.77739713,24.1291361,40.45326662,1
Khammam,Hilly,August,2019,8.187557604,25.51321045,33.23195084,70.10015361,94.89569892,0.2760368664,10.86605223,48.37744028,21.49418787,34.93581407,1
Khammam,Hilly,September,2019,7.847454844,25.17411056,32.556185,76.78481117,96.15498084,0.09277504105,7.367487685,45.27129341,20.57133734,32.92131537,1
Karimnagar,Plain,July,2019,9.606653226,25.27903226,33.25423387,62.09133065,92.00423387,0.5762096774,15.31673387,46.40932615,21.39846185,33.903894,0
Karimnagar,Plain,August,2019,7.843346774,24.62379032,31.34254032,73.66350806,96.07278226,0.8439516129,13.02278226,41.44172453,20.56970828,31.0057164,0
Karimnagar,Plain,September,2019,10.34159483,23.85211925,31.62643678,76.91262572,97.98266882,0.2364224138,10.91530172,39.01984777,17.55947899,28.28966338,0
Nizamabad,Plain,October,2019,5.054949944,22.52344457,31.6850964,67.32188543,96.38443826,0.0213570634,4.506117909,44.64238096,21.55993966,33.10116031,0
Nizamabad,Plain,November,2019,0.4975862069,18.83816092,31.37954023,50.45850575,95.94747126,-0.004022988506,3.837701149,49.33690181,25.53693016,37.43691599,0
Nizamabad,Plain,December,2019,0.01635150167,17.54507786,29.18324064,49.85909158,92.85149425,0.009182530795,4.569764838,39.7155499,26.49068716,33.10311853,0
Khammam,Hilly,October,2019,4.055606759,24.4578085,33.74242192,69.16426011,96.65642601,0.055453149,6.108294931,56.90435839,23.04488397,39.97462118,1
Khammam,Hilly,November,2019,0.2955555556,21.5184127,33.29952381,56.28190476,96.51587302,0.01317460317,5.239206349,60.08055731,24.5547225,42.3176399,1
Khammam,Hilly,December,2019,0.1476190476,19.7968254,31.65796211,51.98883769,95.8437788,0.004984423676,6.069003115,51.73427174,25.14079375,38.43753275,1
Karimnagar,Plain,October,2019,8.025201613,22.83234207,32.56313844,70.58116599,98.58795363,0.01915322581,6.624193548,45.80183439,19.58377742,32.69280591,0
Karimnagar,Plain,November,2019,0.44,19.52729167,31.63375,52.62145833,98.3175,-0.00625,5.651666667,52.31451571,25.12610904,38.72031237,0
Karimnagar,Plain,December,2019,0.06552419355,17.95668683,29.56424731,50.31266869,95.93103159,0.008870967742,6.950403226,42.74027723,26.17511264,34.45769494,0
Nizamabad,Plain,January,2020,0.5858731924,17.74949944,29.36173526,50.54404894,92.1592881,0,5.786206897,39.84056655,26.1955087,33.01803763,0
Nizamabad,Plain,February,2020,0.02794292509,18.21890606,31.5020214,40.48870392,87.58561237,0,5.860404281,47.26321978,25.90062266,36.58192122,0
Nizamabad,Plain,March,2020,0.3464961068,21.56351502,34.93414905,36.15038932,85.41468298,0,5.87942158,61.0690552,24.79460032,42.93182776,1
Khammam,Hilly,January,2020,0.08202764977,20.53425499,31.91889401,52.3688172,96.91858679,0,6.297975078,53.73063849,24.93665213,39.33364531,1
